Job_Satisfaction,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
7,0,20210,NA,2,0
8,0,64444,NA,17,0
6,0,4762,NA,16,1
10,1,53703,NA,6,0
1,0,91500,NA,8,0
10,1,225000,NA,18,1
8,0,140000,NA,7,0
9,0,97000,NA,13,1
7,0,135200,NA,9,0
7,0,85983,NA,17,0
5,1,120000,NA,12,1
9,1,59073,NA,10,0
7,0,44304,NA,18,1
8,1,47018,NA,19,0
6,1,39091,NA,14,1
10,1,214812,NA,10,1
8,1,53503,NA,3,0
8,0,107406,NA,10,0
6,0,23311,NA,8,1
8,1,144002,NA,2,0
10,1,38666,NA,2,0
7,0,3051,NA,6,1
5,1,160000,NA,10,0
5,0,110000,NA,11,0
7,0,71814,NA,20,0
6,0,96227,NA,15,1
7,0,140000,NA,12,1
10,0,107406,NA,22,0
9,1,119810,NA,7,0
6,0,190000,NA,25,0
8,1,95708,NA,10,0
8,0,50467,NA,14,1
8,0,160000,NA,29,0
9,1,75184,NA,25,0
9,0,53703,NA,21,0
7,0,80555,NA,4,0
9,0,250000,NA,20,1
8,1,8614,NA,1,1
5,1,80555,NA,10,1
8,1,1181,NA,0.5,0
3,0,47134,NA,10,0
9,0,133600,NA,12,0
6,1,301210,NA,30,1
8,1,69814,NA,8,0
6,1,64076,NA,8,1
3,1,240000,NA,23,1
9,0,51555,NA,3,1
10,1,150000,NA,31,1
6,1,103110,NA,12,0
10,0,53703,NA,6,1
5,1,138117,NA,12,1
7,1,95708,NA,10,0
7,1,88000,NA,2,0
6,0,36277,NA,4,0
5,0,144000,NA,25,0
9,1,29621,NA,5,1
8,1,79201,NA,17,0
7,0,64444,NA,20,0
9,1,120000,NA,4,1
5,1,42962,NA,7,0
9,0,111417,NA,29,0
7,0,107937,NA,5,0
7,0,67666,NA,10,0
2,1,70888,NA,6,1
10,1,158000,NA,19,0
9,0,107630,NA,24,0
4,1,18649,NA,15,0
9,1,130541,NA,10,1
8,0,85184,NA,6,0
7,1,145000,NA,6,0
8,0,149000,NA,2,0
10,0,90000,NA,6,0
5,0,72641,NA,34,0
8,1,50000,NA,8,1
4,1,150000,NA,11,1
9,0,485000,NA,39,1
7,0,57999,NA,26,0
5,0,27934,NA,16,0
7,1,180000,NA,26,1
8,1,72693,NA,5,1
7,0,24780,NA,3,0
6,1,62639,NA,8,1
6,0,176800,NA,19,1
6,0,92720,NA,30,0
9,1,200000,NA,20,1
7,0,89147,NA,6,0
8,0,60546,NA,13,0
6,0,44037,NA,1,1
5,0,49889,NA,6,1
8,1,85925,NA,15,0
7,0,51426,NA,10,0
8,1,270000,NA,15,1
8,1,31822,NA,6,1
8,1,107406,NA,14,0
6,0,175000,NA,19,1
8,0,71337,NA,17,0
5,1,250000,NA,10,1
7,0,70000,NA,7,1
8,1,66877,NA,3,1
5,0,59073,NA,34,0
6,1,115000,NA,3,1
3,1,48333,NA,5,0
7,1,2529,NA,3,1
8,1,2700,NA,3,0
6,1,18649,NA,5,1
2,1,16336,NA,3,0
7,1,59073,NA,30,0
8,0,107406,NA,10,1
4,1,5327,NA,10,1
7,0,109009,NA,4,0
7,1,60235,NA,15,0
6,0,600000,NA,8,0
10,1,95592,NA,8,1
9,0,170000,NA,23,0
9,0,45111,NA,23,1
7,0,135000,NA,28,1
5,1,80000,NA,7,1
1,0,11844,NA,8,0
8,0,96666,NA,20,0
6,0,27540,NA,20,0
9,0,80000,NA,2,0
8,0,350000,NA,20,1
1,0,100962,NA,13,0
8,0,91295,NA,25,0
6,0,207662,NA,14,0
8,0,59073,NA,5,0
6,1,21640,NA,1,0
7,0,220000,NA,22,1
10,1,35806,NA,14,0
10,1,64444,NA,7,1
3,1,357000,NA,11,1
7,1,92692,NA,15,1
5,0,161905,NA,30,1
8,1,300000,NA,8,1
8,1,214812,NA,10,1
5,0,182000,NA,30,1
8,1,2090,NA,1,1
5,0,143000,NA,9,1
8,1,15982,NA,6,1
9,1,66000,NA,8,1
7,1,70888,NA,8,0
3,1,210000,NA,20,1
2,1,41960,NA,11,0
6,1,83000,NA,0.5,0
6,1,111417,NA,5,0
6,0,135000,NA,6,0
2,1,83777,NA,8,1
7,0,64444,NA,20,0
9,1,34108,NA,12,0
7,0,120000,NA,20,0
8,0,47259,NA,3,0
8,0,107406,NA,20,0
2,0,16784,NA,4,0
4,1,5940,NA,4,0
10,0,83651,NA,5,0
8,1,114649,NA,12,0
2,1,75184,NA,9,0
9,1,6714,NA,0.5,1
6,0,69814,NA,23,0
9,1,179000,NA,8,1
7,0,29696,NA,10,1
3,0,245000,NA,6,1
9,1,75184,NA,24,0
10,0,50911,NA,15,1
8,1,43616,NA,5,0
7,0,140000,NA,7,0
6,0,98986,NA,12,1
9,0,85925,NA,5,0
10,1,67666,NA,5,1
8,1,80555,NA,6,1
8,1,86597,NA,10,0
5,0,25000,NA,13,1
8,0,236294,NA,28,1
9,0,75000,NA,16,1
6,1,61436,NA,18,0
8,1,129524,NA,7,0
6,0,165000,NA,11,1
7,1,7408,NA,3,0
4,0,17185,NA,5,0
8,1,74110,NA,9,0
10,0,78300,NA,1,0
7,1,74239,NA,10,0
10,0,150000,NA,35,0
6,0,62629,NA,15,0
8,1,64444,NA,4,0
3,0,56925,NA,7,0
